Date,Open,High,Low,Close,Adj Close,Volume
2007-03-02,89.959999,90.480003,89.669998,90.199997,55.691956,1619800
2007-03-05,90.480003,90.500000,90.059998,90.349998,55.784557,1505200
2007-03-06,90.059998,90.360001,89.989998,90.080002,55.617847,837400
2007-03-07,90.080002,90.500000,89.980003,90.430000,55.833950,915400
2007-03-08,90.290001,90.419998,90.110001,90.349998,55.784557,574700
2007-03-09,89.379997,89.900002,89.190002,89.400002,55.198032,1534700
2007-03-12,89.730003,89.980003,89.680000,89.750000,55.414120,594400
2007-03-13,90.230003,90.339996,89.980003,90.290001,55.747540,553800
2007-03-14,90.150002,90.540001,89.839996,89.879997,55.494339,1698100
2007-03-15,89.760002,89.959999,89.669998,89.870003,55.488197,394900
2007-03-16,89.669998,89.919998,89.650002,89.849998,55.475845,623800
2007-03-19,89.580002,89.699997,89.519997,89.660004,55.358559,693900
2007-03-20,89.910004,89.949997,89.690002,89.709999,55.389412,768400
2007-03-21,89.379997,90.089996,88.690002,89.750000,55.414120,1513400
2007-03-22,89.480003,89.480003,88.830002,89.040001,54.975712,1484300
2007-03-23,89.190002,89.199997,88.779999,88.790001,54.821396,1679700
2007-03-26,88.620003,89.269997,88.500000,88.900002,54.889301,763600
2007-03-27,88.639999,88.809998,88.559998,88.750000,54.796677,619800
2007-03-28,88.910004,89.110001,88.410004,88.570000,54.685535,816900
2007-03-29,88.540001,88.669998,88.320000,88.449997,54.611435,823000
2007-03-30,88.650002,88.919998,88.220001,88.279999,54.506508,2015100
2007-04-02,88.110001,88.220001,88.010002,88.099998,54.596996,579600
2007-04-03,88.019997,88.169998,87.980003,87.989998,54.528816,617000
2007-04-04,88.169998,88.339996,87.900002,88.080002,54.584572,576900
2007-04-05,88.099998,88.120003,87.709999,87.750000,54.380066,436400
2007-04-09,87.279999,87.309998,87.129997,87.169998,54.020653,1283900
2007-04-10,87.389999,87.550003,87.309998,87.430000,54.181736,674400
2007-04-11,87.470001,87.580002,87.279999,87.370003,54.144581,476200
2007-04-12,87.500000,87.570000,87.279999,87.389999,54.156994,495100
2007-04-13,87.410004,87.470001,87.010002,87.120003,53.989685,557800
2007-04-16,87.400002,87.680000,87.400002,87.599998,54.287159,833600
2007-04-17,87.889999,88.160004,87.839996,88.089996,54.590820,1254200
2007-04-18,88.370003,88.559998,88.360001,88.529999,54.863472,450800
2007-04-19,88.660004,88.709999,88.199997,88.379997,54.770481,1305900
2007-04-20,88.449997,88.449997,88.059998,88.150002,54.627964,664500
2007-04-23,88.139999,88.589996,88.040001,88.470001,54.826279,419000
2007-04-24,88.449997,88.820000,88.449997,88.800003,55.030746,881300
2007-04-25,88.570000,88.790001,88.110001,88.489998,54.838665,569000
2007-04-26,88.430000,88.430000,87.849998,87.849998,54.442017,2048400
2007-04-27,88.010002,88.050003,87.779999,87.830002,54.429661,428700
2007-04-30,88.330002,88.750000,88.250000,88.750000,54.999783,485700
2007-05-01,88.580002,88.639999,88.110001,88.489998,55.039593,487200
2007-05-02,88.440002,88.480003,88.290001,88.440002,55.008499,443900
2007-05-03,88.370003,88.370003,88.010002,88.239998,54.884144,427000
2007-05-04,88.519997,88.639999,88.500000,88.599998,55.108032,262000
2007-05-07,88.699997,88.849998,88.669998,88.839996,55.257298,210200
2007-05-08,89.010002,89.010002,88.639999,88.639999,55.132938,488400
2007-05-09,88.650002,88.660004,88.260002,88.290001,54.915215,634900
2007-05-10,88.400002,88.589996,88.309998,88.500000,55.045830,519500
2007-05-11,88.639999,88.699997,88.129997,88.190002,54.853016,1238400
2007-05-14,88.230003,88.279999,87.959999,87.959999,54.709953,315200
2007-05-15,88.190002,88.209999,87.660004,87.930000,54.691284,382400
2007-05-16,87.860001,88.000000,87.830002,87.870003,54.653988,599500
2007-05-17,87.599998,87.720001,87.410004,87.510002,54.430035,397000
2007-05-18,87.349998,87.500000,86.879997,86.930000,54.069298,856500
2007-05-21,86.930000,87.239998,86.830002,87.190002,54.231010,821100
2007-05-22,87.180000,87.199997,86.680000,86.739998,53.951138,920200
2007-05-23,86.839996,86.839996,86.309998,86.489998,53.795624,914500
2007-05-24,86.459999,86.589996,85.959999,86.570000,53.845398,1598200
2007-05-25,86.400002,86.610001,86.330002,86.370003,53.720959,754900
2007-05-29,86.510002,86.570000,85.830002,86.360001,53.714779,1055700
2007-05-30,86.790001,86.790001,86.389999,86.540001,53.826725,612000
2007-05-31,86.559998,86.580002,86.040001,86.379997,53.727203,1725900
2007-06-01,85.900002,86.839996,85.540001,85.589996,53.444981,1694300
2007-06-04,85.830002,86.019997,85.669998,85.980003,53.688522,877700
2007-06-05,85.889999,85.940002,85.379997,85.440002,53.351315,1145400
2007-06-06,85.360001,85.540001,85.260002,85.400002,53.326336,1129200
2007-06-07,84.629997,84.709999,83.730003,83.870003,52.370937,5010400
2007-06-08,83.610001,84.120003,83.360001,83.800003,52.327263,5307600
2007-06-11,83.489998,83.889999,83.260002,83.559998,52.177383,2043800
2007-06-12,82.910004,83.419998,82.199997,82.349998,51.421803,9043900
2007-06-13,82.699997,83.760002,82.650002,83.330002,52.033768,8751200
2007-06-14,83.139999,83.709999,83.050003,83.120003,51.902634,3384700
2007-06-15,83.419998,83.730003,83.199997,83.690002,52.258556,5827200
2007-06-18,83.629997,83.650002,82.239998,83.519997,52.152390,17704600
2007-06-19,83.820000,84.449997,83.720001,84.300003,52.639454,4620100
2007-06-20,84.019997,84.080002,83.589996,83.620003,52.214851,3031700
2007-06-21,83.540001,83.699997,83.209999,83.220001,51.965069,850400
2007-06-22,83.050003,83.769997,82.949997,83.760002,52.302269,2118900
2007-06-25,84.150002,84.349998,83.959999,84.220001,52.589493,1323500
2007-06-26,84.290001,84.320000,83.970001,84.239998,52.601963,2187800
2007-06-27,84.610001,84.739998,84.199997,84.320000,52.651947,6109300
2007-06-28,84.320000,84.580002,84.180000,84.300003,52.639454,3612500
2007-06-29,84.849998,85.300003,84.639999,85.169998,53.182713,1962200
2007-07-02,84.809998,85.370003,84.809998,85.290001,53.462265,2811700
2007-07-03,85.250000,85.339996,84.709999,84.769997,53.136333,1387500
2007-07-05,84.309998,84.419998,83.720001,83.820000,52.540844,4586800
2007-07-06,83.540001,83.550003,83.279999,83.480003,52.327744,1437800
2007-07-09,83.870003,83.930000,83.680000,83.779999,52.515743,795400
2007-07-10,84.480003,85.199997,84.430000,85.199997,53.405827,2258000
2007-07-11,84.949997,85.089996,84.320000,84.320000,52.854233,1191300
2007-07-12,84.550003,84.580002,83.870003,84.029999,52.672451,1941200
2007-07-13,84.449997,84.550003,83.940002,84.260002,52.816647,725900
2007-07-16,84.519997,85.110001,84.519997,85.070000,53.324360,952000
2007-07-17,84.860001,85.089996,84.500000,84.889999,53.211529,734200
2007-07-18,84.930000,85.540001,84.809998,85.209999,53.412136,1836800
2007-07-19,84.900002,85.260002,84.800003,85.190002,53.399559,1021000
2007-07-20,85.379997,86.080002,85.320000,85.959999,53.882221,1459900
2007-07-23,85.690002,85.970001,85.690002,85.820000,53.794510,777900
2007-07-24,86.010002,86.160004,85.720001,86.139999,53.995068,1351600
2007-07-25,86.070000,86.389999,86.000000,86.309998,54.101658,881100
2007-07-26,86.739998,87.459999,86.650002,87.029999,54.552975,2866400
2007-07-27,87.050003,87.559998,86.849998,87.279999,54.709728,5367800
2007-07-30,87.190002,87.360001,86.910004,87.029999,54.552975,1803900
2007-07-31,87.129997,87.750000,86.949997,87.660004,54.947868,2467600
2007-08-01,87.260002,87.540001,87.089996,87.129997,54.828907,2154700
2007-08-02,87.209999,87.449997,86.989998,87.349998,54.967400,2079400
2007-08-03,87.279999,87.930000,87.279999,87.930000,55.332359,1577600
2007-08-06,87.699997,87.720001,87.169998,87.290001,54.929592,1298400
2007-08-07,87.430000,87.709999,86.919998,87.220001,54.885555,1890800
2007-08-08,86.889999,86.889999,85.860001,86.160004,54.218536,6453000
2007-08-09,86.750000,86.860001,85.720001,86.279999,54.294033,2637500
2007-08-10,86.489998,86.699997,85.980003,86.080002,54.168186,1496400
2007-08-13,85.919998,86.400002,85.900002,86.330002,54.325539,1312600
2007-08-14,86.019997,86.779999,86.010002,86.559998,54.470245,1314700
2007-08-15,86.650002,86.750000,86.250000,86.250000,54.275127,1101700
2007-08-16,86.870003,87.599998,86.760002,87.139999,54.835236,2410200
2007-08-17,86.400002,86.910004,86.050003,86.790001,54.614956,2114400
2007-08-20,86.959999,87.269997,86.830002,86.839996,54.646435,1048700
2007-08-21,87.099998,87.410004,87.050003,87.260002,54.910721,1517200
2007-08-22,87.050003,87.309998,86.809998,87.120003,54.822651,1137800
2007-08-23,87.089996,87.680000,87.029999,87.419998,55.011398,1618800
2007-08-24,87.769997,88.080002,87.559998,87.849998,55.281963,1614600
2007-08-27,88.279999,88.480003,88.150002,88.309998,55.571449,1585400
2007-08-28,88.430000,88.739998,88.279999,88.459999,55.665886,1298900
2007-08-29,88.489998,88.769997,88.160004,88.220001,55.514866,2686700
2007-08-30,88.610001,88.959999,88.470001,88.809998,55.886097,1806800
2007-08-31,88.589996,89.199997,88.540001,88.879997,55.930145,2763200
2007-09-04,88.830002,89.129997,88.199997,88.559998,55.956676,931000
2007-09-05,88.760002,89.349998,88.720001,89.269997,56.405281,1271500
2007-09-06,89.309998,89.489998,88.949997,89.040001,56.259960,1768400
2007-09-07,89.750000,90.500000,89.690002,90.300003,57.056099,2852200
2007-09-10,90.500000,91.269997,90.500000,91.000000,57.498440,2495200
2007-09-11,90.879997,91.269997,90.699997,90.930000,57.454178,3925400
2007-09-12,90.900002,90.940002,90.419998,90.589996,57.239349,4458300
2007-09-13,90.300003,90.330002,89.580002,89.779999,56.727547,2020600
2007-09-14,90.580002,90.589996,89.620003,89.910004,56.809689,1357200
2007-09-17,89.820000,90.389999,89.760002,90.339996,57.081383,1285400
2007-09-18,89.800003,90.239998,89.000000,89.660004,56.651718,3132800
2007-09-19,88.709999,89.010002,88.370003,88.830002,56.127308,3854700
2007-09-20,88.180000,88.290001,87.099998,87.150002,55.065784,5903200
2007-09-21,87.580002,88.129997,87.580002,87.889999,55.533352,2217600
2007-09-24,88.029999,88.279999,87.910004,88.139999,55.691296,1943600
2007-09-25,88.500000,88.620003,87.830002,87.830002,55.495426,2513500
2007-09-26,87.620003,88.129997,87.430000,87.910004,55.546001,2646400
2007-09-27,88.239998,88.779999,88.150002,88.519997,55.931461,1802900
2007-09-28,89.160004,89.330002,88.220001,88.720001,56.057777,1254700
2007-10-01,88.690002,88.980003,88.430000,88.879997,56.378155,1399400
2007-10-02,88.750000,89.370003,88.680000,89.160004,56.555725,887800
2007-10-03,89.330002,89.430000,88.730003,88.900002,56.390816,1164600
2007-10-04,89.010002,89.320000,88.910004,89.239998,56.606476,1128700
2007-10-05,88.309998,88.440002,87.709999,88.279999,55.997536,2184700
2007-10-08,87.769997,88.500000,87.769997,88.209999,55.953114,280100
2007-10-09,88.160004,88.360001,87.779999,88.099998,55.883324,901000
2007-10-10,87.980003,88.430000,87.790001,88.150002,55.915066,855500
2007-10-11,87.519997,88.089996,87.449997,88.059998,55.857998,1533400
2007-10-12,87.519997,88.180000,87.480003,87.629997,55.585213,1133900
2007-10-15,87.480003,87.720001,87.400002,87.650002,55.597885,553300
2007-10-16,87.650002,87.980003,87.540001,87.680000,55.616928,855500
2007-10-17,87.769997,88.949997,87.769997,88.639999,56.225891,2377000
2007-10-18,89.110001,89.339996,89.019997,89.129997,56.536682,1374100
2007-10-19,89.629997,90.599998,89.610001,90.459999,57.380322,2561800
2007-10-22,90.580002,90.650002,90.070000,90.470001,57.386684,1866500
2007-10-23,90.260002,90.519997,90.099998,90.349998,57.310551,1046600
2007-10-24,90.709999,91.389999,90.559998,91.019997,57.735565,2829300
2007-10-25,91.059998,91.180000,90.699997,90.709999,57.538902,3062200
2007-10-26,90.370003,91.000000,90.339996,90.500000,57.405716,1366500
2007-10-29,90.500000,90.989998,90.480003,90.849998,57.627705,881000
2007-10-30,90.730003,91.010002,90.419998,90.800003,57.596024,1439600
2007-10-31,90.500000,90.699997,89.750000,89.980003,57.075874,2498500
2007-11-01,89.959999,91.010002,89.959999,90.750000,57.817451,2563400
2007-11-02,90.449997,91.540001,90.209999,91.040001,58.002182,1927700
2007-11-05,91.160004,91.389999,90.800003,91.000000,57.976742,1021500
2007-11-06,90.599998,91.150002,90.480003,90.559998,57.696434,575800
2007-11-07,90.540001,90.760002,90.320000,90.720001,57.798344,1456100
